Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;VQ;FG;DKL;AOB;Voranschlag 2010 EUR;Voranschlag 2009 EUR;Rechnung 2008 EUR
'1.00000.565000';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'00000';20;0;'SN001';'MDPA';       6300.00;       5400.00;       4996.30
'1.00000.565300';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'00000';20;0;'MD060';'MDPA';       7000.00;       6400.00;       7895.81
'1.00000.567000';BELOHNUNGEN UND GELDAUSHILFEN;AUSGABE;'00000';20;0;'SN001';'MDPA';        200.00;        200.00;        150.00
'1.00000.569000';SONSTIGE NEBENGEBÜHREN;AUSGABE;'00000';20;0;'SN001';'MDPA';       7900.00;      16400.00;      13884.90
'1.00000.580000';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'00000';20;0;'SN001';'MDPA';     118400.00;      44700.00;      80896.12
'1.00000.580900';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'00000';20;0;'SN001';'MDPA';        100.00;          0.00;       1962.36
'1.00000.581000';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;'SN001';'MDPA';     315200.00;     378500.00;     381872.21
'1.00000.581500';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;'SN001';'MDPA';      39200.00;      42600.00;      39064.75
'1.00000.581900';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;'SN001';'MDPA';        400.00;          0.00;       9245.42
'1.00000.590000';FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN);AUSGABE;'00000';20;0;'SN001';'MDPA';       4100.00;       4000.00;       4353.50
'1.00000.600000';STROM;AUSGABE;'00000';24;1;'12001';'0805';      20000.00;      25000.00;      22469.81
'1.00000.602000';WASSER;AUSGABE;'00000';24;1;'12101';'0805';       1500.00;       1500.00;       1482.55
'1.00000.603000';WÄRME;AUSGABE;'00000';24;1;'12001';'0805';      22000.00;      22000.00;      25126.13
'1.00000.614000';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;'12230';'0805';       6000.00;       4000.00;        122.15
'1.00000.614009';INSTANDH. VON GEBÄUDEN A8/5W;AUSGABE;'00000';24;3;'MD060';'MDPA';          0.00;          0.00;       3591.58
'1.00000.614200';INSTANDH. VON GEBÄUDEN WB;AUSGABE;'00000';24;1;'MD060';'MDPA';          0.00;          0.00;      11893.22
'1.00000.614500';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;'12230';'0805';       1000.00;       1000.00;      20054.63
'1.00000.614890';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;'G085W';'085W';        500.00;        500.00;        361.60
'1.00000.618030';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;2;'12230';'0805';       1000.00;       1000.00;          0.00
'1.00000.618200';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;3;'MD060';'MDPA';       1000.00;       1000.00;       6041.98
'1.00000.618890';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;3;'G085W';'085W';        200.00;        200.00;          0.00
'1.00000.618990';INSTANDH. VON SONSTIGEN ANLAGEN EDV;AUSGABE;'00000';24;3;'GMDI0';'MDIM';          0.00;          0.00;        431.54
'1.00000.620000';PERSONEN- UND GÜTERTRANSPORTE;AUSGABE;'00000';24;9;'MD060';'MDPA';        500.00;          0.00;       4469.37
'1.00000.620200';PERSONEN- UND GÜTERTRANSPORTE TAXIBENÜTZUNG;AUSGABE;'00000';24;9;'MD060';'MDPA';       6000.00;       6000.00;       2361.27
'1.00000.630000';POSTDIENSTE;AUSGABE;'00000';24;1;'MD002';'MDPA';      10000.00;      20000.00;       9478.12
'1.00000.631000';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;'MD002';'MDPA';       7500.00;      10000.00;       7132.99
'1.00000.631200';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;'MD002';'MDPA';      17300.00;      17300.00;      20239.30
'1.00000.631300';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;'MD002';'MDPA';       2600.00;       4000.00;       3216.45
'1.00000.650000';ZINSEN FÜR FINANZSCHULDEN - INLAND;AUSGABE;'00000';25;8;'SN021';'SN21';       4800.00;       6000.00;       6453.30
'1.00000.670000';VERSICHERUNGEN;AUSGABE;'00000';24;8;'12101';'0805';       8000.00;       8000.00;       7144.31
'1.00000.700000';MIETZINSE;AUSGABE;'00000';24;8;'12101';'0805';      18000.00;      18000.00;      16381.85
'1.00000.700100';MIETZINSE BEZIRKS- UND STADTTEILVERSAMMLUNGEN;AUSGABE;'00000';24;9;'MD002';'MDPA';       1000.00;       1000.00;        554.00
'1.00000.700110';MIETZINSE KOPIERER;AUSGABE;'00000';24;8;'MD060';'MDPA';          0.00;      10000.00;      11718.42
'1.00000.700120';MIETZINSE KOPIERER;AUSGABE;'00000';24;8;'G0850';'0805';          0.00;          0.00;        577.16
'1.00000.700200';MIETZINSE LEASINGRATEN;AUSGABE;'00000';24;8;'08107';'0800';     156400.00;     173300.00;     172105.83
'1.00000.700600';MIETZINSE;AUSGABE;'00000';24;8;'MD060';'MDPA';      30000.00;      40000.00;          0.00
'1.00000.700700';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'00000';24;8;'12020';'0805';       8800.00;       8800.00;       7102.11
'1.00000.700800';MIETZINSE CITY-BACKBONE;AUSGABE;'00000';24;8;'12230';'0805';       1000.00;       1000.00;        731.70
'1.00000.710000';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'00000';24;8;'12101';'0805';      20000.00;      20000.00;      20507.06
'1.00000.721000';BEZÜGE DER GEWÄHLTEN ORGANE STADTSENATSMITGLIEDER;AUSGABE;'00000';22;8;'MD060';'MDPA';    1305000.00;    1322800.00;    1291896.73
'1.00000.721100';BEZÜGE DER GEWÄHLTEN ORGANE GEMEINDERÄTE;AUSGABE;'00000';22;8;'MD060';'MDPA';    1525000.00;    1546500.00;    1489522.84
'1.00000.721200';BEZÜGE DER GEWÄHLTEN ORGANE BEZIRKSVORSTEHER;AUSGABE;'00000';22;8;'MD060';'MDPA';     584000.00;     591400.00;     572277.91
'1.00000.721300';BEZÜGE DER GEWÄHLTEN ORGANE REISEGEBÜHREN;AUSGABE;'00000';22;9;'MD060';'MDPA';      15000.00;      15000.00;      11268.37
'1.00000.721400';BEZÜGE DER GEWÄHLTEN ORGANE ABFERTIGUNGEN;AUSGABE;'00000';22;8;'MD060';'MDPA';        100.00;        100.00;      65380.25
'1.00000.728100';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;8;'12101';'0805';       8000.00;       8000.00;       8564.34
'1.00000.728200';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;'MD060';'MDPA';        300.00;        300.00;          0.00
'1.00000.728300';ENTGELTE FÜR SONSTIGE LEISTUNGEN TAGUNGSGEBÜHREN;AUSGABE;'00000';24;9;'MD060';'MDPA';       1000.00;       1000.00;        628.90
'1.00000.728310';ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN;AUSGABE;'00000';24;9;'MD060';'MDPA';          0.00;          0.00;        212.00
'1.00000.728500';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;'';'BG00';        100.00;        100.00;          0.00
'1.00000.751001';LFD. TRANSFERZAHLUNGEN AN LÄNDER UND LANDESFONDS;AUSGABE;'00000';26;0;'SN001';'MDPA';     189600.00;          0.00;      90903.55
'1.00000.753000';LFD. TRANSFERZAHLUNGEN AN SOZIALVERSICHERUNGSTRÄGE;AUSGABE;'00000';26;4;'';'MDPA';          0.00;          0.00;      57321.91
'1.00000.757000';LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW;AUSGABE;'00000';27;5;'';'0800';     963900.00;     963900.00;     960200.00
'1.00000.757100';LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW;AUSGABE;'00000';27;5;'';'MDPA';          0.00;          0.00;      17816.58
'1.00000.760000';PENSIONEN UND SONSTIGE RUHEBEZÜGE (EINSCHL.DG-BEIT;AUSGABE;'00000';21;8;'MD060';'MDPA';    1995000.00;    2029000.00;    1877733.79
'1.01000.010000';GEBÄUDE;AUSGABE;'01000';40;3;'12230';'0805';       1000.00;       1000.00;       9308.04
'1.01000.042000';AMTSAUSSTATTUNG;AUSGABE;'01000';41;3;'GMD00';'MD00';      20500.00;      21500.00;        628.71
'1.01000.042019';AMTSAUSSTATTUNG A 8/5W;AUSGABE;'01000';41;3;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.042600';AMTSAUSSTATTUNG WB;AUSGABE;'01000';41;3;'GMD00';'MD00';        400.00;        400.00;          0.00
'1.01000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'01000';41;3;'12230';'0805';       1000.00;       1000.00;          0.00
'1.01000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'01000';65;8;'SN021';'SN21';      87900.00;      85000.00;      82144.36
'1.01000.400000';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;1;'GMD00';'MD00';        800.00;        800.00;        405.93
'1.01000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;3;'12230';'0805';       1000.00;       1000.00;        280.29
'1.01000.400890';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;1;'G085W';'085W';        100.00;        100.00;          0.00
'1.01000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;3;'GMDI0';'MDIM';          0.00;          0.00;       1974.76
'1.01000.402550';MATERIALIEN F.INNERBETRIEBLICHE LEISTUNGEN;AUSGABE;'01000';23;1;'12230';'0805';          0.00;       1000.00;          0.00
'1.01000.420890';PFLANZLICHE ROHSTOFFE;AUSGABE;'01000';23;1;'G085W';'085W';        100.00;        100.00;          0.00
'1.01000.423550';ROH- UND HILFSSTOFFE FÜR DAS BAUHAUPTGEWERBE;AUSGABE;'01000';23;1;'12230';'0805';          0.00;       1000.00;          0.00
'1.01000.424550';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'01000';23;1;'12230';'0805';          0.00;       1000.00;          0.00
'1.01000.424890';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'01000';23;1;'G085W';'085W';        100.00;        100.00;          0.00
'1.01000.425890';SONSTIGE ROH- UND HILFSSTOFFE;AUSGABE;'01000';23;1;'G085W';'085W';        100.00;        100.00;          0.00
'1.01000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'01000';23;1;'12230';'0805';       1000.00;       1000.00;          0.00
'1.01000.428890';FERTIG BEZOGENE TEILE;AUSGABE;'01000';23;1;'G085W';'085W';        100.00;        100.00;          0.00
'1.01000.452000';TREIBSTOFFE;AUSGABE;'01000';23;1;'MD002';'MDPA';          0.00;          0.00;         30.01
'1.01000.454000';REINIGUNGSMITTEL;AUSGABE;'01000';23;1;'12202';'0805';          0.00;          0.00;         16.84
'1.01000.456000';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'01000';23;1;'GMD00';'MD00';        200.00;        200.00;        227.97
'1.01000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'01000';23;1;'GMD00';'MD00';        800.00;        800.00;        559.72
'1.01000.457000';DRUCKWERKE;AUSGABE;'01000';23;1;'GMD00';'MD00';       1900.00;       2000.00;       2324.43
'1.01000.457009';DRUCKWERKE KOPIERSERVICE - MDPA;AUSGABE;'01000';23;1;'GMD00';'MD00';        200.00;        200.00;       1166.64
'1.01000.457100';DRUCKWERKE;AUSGABE;'01000';23;1;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.457609';DRUCKWERKE;AUSGABE;'01000';23;1;'MD140';'MD00';          0.00;          0.00;       1794.19
'1.01000.457950';DRUCKWERKE;AUSGABE;'01000';23;9;'GMD00';'MD00';        500.00;        500.00;          0.00
'1.01000.459000';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'01000';23;1;'GMD00';'MD00';        200.00;        200.00;         31.84
'1.01000.500000';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'01000';20;0;'SN001';'MD00';     505400.00;     667000.00;     654724.97
'1.01000.500010';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'01000';20;0;'SN001';'MD00';      51500.00;      53300.00;      50316.79
'1.01000.510000';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'01000';20;0;'SN001';'MD00';     115400.00;      44400.00;      75404.08
'1.01000.560000';REISEGEBÜHREN;AUSGABE;'01000';20;0;'GMD00';'MD00';       2000.00;       2100.00;       1933.71
'1.01000.563100';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'01000';20;0;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.565000';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'01000';20;0;'SN001';'MD00';       5400.00;       5700.00;       5357.40
'1.01000.569000';SONSTIGE NEBENGEBÜHREN;AUSGABE;'01000';20;0;'SN001';'MD00';       2000.00;       1900.00;       2137.20
'1.01000.580000';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'01000';20;0;'SN001';'MD00';      30000.00;       9400.00;      18709.62
'1.01000.581000';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'01000';20;0;'SN001';'MD00';      49700.00;      19500.00;      42037.20
'1.01000.581500';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'01000';20;0;'SN001';'MD00';      18600.00;      20200.00;      18798.41
'1.01000.590000';FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN);AUSGABE;'01000';20;0;'SN001';'MD00';        600.00;        300.00;        711.50
'1.01000.600000';STROM;AUSGABE;'01000';24;1;'12001';'0805';       3500.00;       3500.00;       3225.37
'1.01000.602000';WASSER;AUSGABE;'01000';24;1;'12101';'0805';        300.00;        300.00;        352.94
'1.01000.603000';WÄRME;AUSGABE;'01000';24;1;'12001';'0805';       5000.00;       5000.00;       4553.67
'1.01000.614000';INSTANDH. VON GEBÄUDEN;AUSGABE;'01000';24;3;'12230';'0805';       6000.00;       4000.00;        194.39
'1.01000.614009';INSTANDH. VON GEBÄUDEN A 8/5W;AUSGABE;'01000';24;3;'GMD00';'MD00';        200.00;        200.00;        653.02
'1.01000.614500';INSTANDH. VON GEBÄUDEN;AUSGABE;'01000';24;3;'12230';'0805';       1000.00;       1000.00;       3720.65
'1.01000.618000';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'01000';24;3;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.618030';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'01000';24;2;'12230';'0805';       1000.00;       1000.00;         12.77
'1.01000.618100';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'01000';24;3;'G0FW0';'FW00';       1000.00;       1500.00;       2022.61
'1.01000.618109';INSTANDH. VON SONSTIGEN ANLAGEN A 8/5W;AUSGABE;'01000';24;3;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.618600';INSTANDH. VON SONSTIGEN ANLAGEN WB;AUSGABE;'01000';24;3;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.620000';PERSONEN- UND GÜTERTRANSPORTE;AUSGABE;'01000';24;8;'GMD00';'MD00';        200.00;        200.00;        242.23
'1.01000.620600';PERSONEN- UND GÜTERTRANSPORTE WB;AUSGABE;'01000';24;9;'GMD00';'MD00';        500.00;        500.00;          0.00
'1.01000.630000';POSTDIENSTE;AUSGABE;'01000';24;1;'MD002';'MDPA';        500.00;        800.00;        495.80
'1.01000.631000';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'01000';24;1;'GMD00';'MD00';       1000.00;       1000.00;        808.73
'1.01000.631200';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'01000';24;1;'GMD00';'MD00';       2100.00;       2200.00;       1681.60
'1.01000.631300';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'01000';24;1;'MD002';'MDPA';        400.00;        500.00;        461.90
'1.01000.650000';ZINSEN FÜR FINANZSCHULDEN - INLAND;AUSGABE;'01000';25;8;'SN021';'SN21';      14600.00;      17900.00;      20890.07
'1.01000.670000';VERSICHERUNGEN;AUSGABE;'01000';24;8;'12101';'0805';        500.00;        500.00;        372.97
'1.01000.670100';VERSICHERUNGEN;AUSGABE;'01000';24;9;'GMD00';'MD00';        100.00;        100.00;         65.00
'1.01000.700000';MIETZINSE;AUSGABE;'01000';24;8;'12101';'0805';      11000.00;      11000.00;      10684.17
'1.01000.700300';MIETZINSE LEASINGRATEN;AUSGABE;'01000';24;8;'08107';'0800';      24400.00;      26600.00;      26422.80
'1.01000.700500';MIETZINSE;AUSGABE;'01000';24;9;'GMD00';'MD00';        100.00;        100.00;        169.14
'1.01000.700510';MIETZINSE GBG-MIETEN;AUSGABE;'01000';24;8;'12020';'0805';       8000.00;      50000.00;      47828.93
'1.01000.700700';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'01000';24;8;'12020';'0805';       6000.00;       6000.00;       5648.22
'1.01000.700800';MIETZINSE CITY-BACKBONE;AUSGABE;'01000';24;8;'12230';'0805';       1000.00;       1000.00;         88.88
'1.01000.710000';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'01000';24;8;'12101';'0805';       3500.00;       3500.00;       3364.56
'1.01000.710100';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'01000';24;8;'MD002';'MDPA';          0.00;          0.00;       2884.70
'1.01000.710110';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'01000';24;9;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.723000';AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN;AUSGABE;'01000';24;9;'GMD00';'MD00';        800.00;        800.00;       1025.10
'1.01000.723950';AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN;AUSGABE;'01000';24;9;'GMD00';'MD00';        900.00;       1000.00;          0.00
'1.01000.726000';MITGLIEDSBEITRÄGE AN INSTITUTIONEN (IM INLAND);AUSGABE;'01000';24;9;'GMD00';'MD00';          0.00;          0.00;         73.00
'1.01000.726100';MITGLIEDSBEITRÄGE AN INSTITUTIONEN (IM INLAND);AUSGABE;'01000';24;4;'';'1600';        300.00;        400.00;        287.00
'1.01000.728000';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'01000';24;8;'GMD00';'MD00';       6000.00;       7000.00;        669.04
'1.01000.728100';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'01000';24;8;'12101';'0805';       1200.00;       1200.00;       1236.00
'1.01000.728240';ENTGELTE FÜR SONSTIGE LEISTUNGEN AUTOWÄSCHE;AUSGABE;'01000';24;9;'MD002';'MDPA';          0.00;          0.00;         99.90
'1.01000.728610';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'01000';24;9;'MD140';'MD00';       4300.00;       4600.00;         40.00
'1.01000.728700';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'01000';24;9;'G0FW0';'FW00';      22000.00;      17000.00;      20868.40
'1.01000.728910';ENTGELTE FÜR SONSTIGE LEISTUNGEN EDV-SCHULUNGEN;AUSGABE;'01000';24;9;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.728920';ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN, SUPERVISIONEN;AUSGABE;'01000';24;9;'GMD00';'MD00';        700.00;        900.00;        886.40
'1.01000.728930';ENTGELTE FÜR SONSTIGE LEISTUNGEN SUCHTPRÄVENTION;AUSGABE;'01000';24;9;'GMD00';'MD00';        500.00;        500.00;          0.00
'1.01000.728950';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'01000';24;9;'GMD00';'MD00';       8100.00;       8500.00;          0.00
'1.01000.728980';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'01000';24;9;'GMD00';'MD00';          0.00;          0.00;          0.00
'1.01000.729800';SONSTIGE AUSGABEN KFA;AUSGABE;'01000';24;4;'';'0800';      47300.00;      52500.00;     862745.71
