Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;VQ;FG;DKL;AOB;Voranschlag 2012 EUR;Voranschlag 2011 EUR;Rechnung 2010 EUR
'1.00000.425890';SONSTIGE ROH- UND HILFSSTOFFE;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;          0.00;        124.13
'1.00000.428200';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'MD060';'MDPA';       1000.00;       1500.00;       2460.44
'1.00000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'12230';'0804';          0.00;       1000.00;        120.24
'1.00000.428890';FERTIG BEZOGENE TEILE;AUSGABE;'00000';23;1;'G085W';'085W';          0.00;          0.00;        222.94
'1.00000.454200';REINIGUNGSMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';        200.00;        400.00;        472.74
'1.00000.454206';REINIGUNGSMITTEL GBG;AUSGABE;'00000';23;1;'MD060';'MDPA';        200.00;          0.00;          0.00
'1.00000.456200';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';      10000.00;      10000.00;       9169.59
'1.00000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'00000';23;1;'MD060';'MDPA';      10000.00;      12000.00;       6577.34
'1.00000.457009';DRUCKWERKE KOPIERSERVICE - MDPA;AUSGABE;'00000';23;1;'MD060';'MDPA';      15000.00;      20000.00;      30748.44
'1.00000.457200';DRUCKWERKE;AUSGABE;'00000';23;1;'MD060';'MDPA';      24000.00;      24000.00;      22818.49
'1.00000.459200';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'MD060';'MDPA';        700.00;        300.00;        343.27
'1.00000.459550';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'12230';'0804';       1000.00;       1000.00;          0.00
'1.00000.459990';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'00000';23;1;'MD060';'MDPA';          0.00;          0.00;        387.59
'1.00000.500000';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';     696100.00;     662800.00;     697641.54
'1.00000.500010';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';     120100.00;     145500.00;     142315.25
'1.00000.510000';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';    1618300.00;    1436600.00;    1577486.02
'1.00000.510010';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';     319200.00;     365700.00;     370863.46
'1.00000.511000';GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;          0.00;      13938.25
'1.00000.522500';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;       1800.00;      44568.00
'1.00000.523500';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ARBE;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;          0.00;       2266.78
'1.00000.560000';REISEGEBÜHREN;AUSGABE;'00000';20;0;'MD060';'MDPA';       1800.00;       1800.00;       2624.68
'1.00000.563000';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'00000';20;0;'SN001';'MDPA';       1900.00;          0.00;          0.00
'1.00000.563100';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'00000';20;0;'SN001';'MDPA';        500.00;          0.00;       1033.62
'1.00000.565000';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'00000';20;0;'SN001';'MDPA';        500.00;       6300.00;       8087.50
'1.00000.565300';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'00000';20;0;'MD060';'MDPA';      10000.00;      10000.00;      13084.49
'1.00000.567000';BELOHNUNGEN UND GELDAUSHILFEN;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;        200.00;        150.00
'1.00000.569000';SONSTIGE NEBENGEBÜHREN;AUSGABE;'00000';20;0;'SN001';'MDPA';       3800.00;       7900.00;       5537.70
'1.00000.580000';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'00000';20;0;'SN001';'MDPA';     108000.00;     118400.00;     123962.58
'1.00000.580900';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;        100.00;       2107.46
'1.00000.581000';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;'SN001';'MDPA';     340000.00;     315200.00;     411168.98
'1.00000.581500';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;'SN001';'MDPA';      39000.00;      39200.00;      42153.94
'1.00000.581900';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;'SN001';'MDPA';          0.00;        400.00;       9927.14
'1.00000.590000';FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN);AUSGABE;'00000';20;0;'SN001';'MDPA';       3500.00;       4100.00;       4183.00
'1.00000.600000';STROM;AUSGABE;'00000';24;1;'12001';'0804';          0.00;      19000.00;      22596.80
'1.00000.600005';STROM;AUSGABE;'00000';24;1;'12001';'0804';      19000.00;          0.00;          0.00
'1.00000.602000';WASSER;AUSGABE;'00000';24;1;'12101';'0804';          0.00;       1400.00;       1788.15
'1.00000.602005';WASSER;AUSGABE;'00000';24;1;'12101';'0804';       1000.00;          0.00;          0.00
'1.00000.603000';WÄRME;AUSGABE;'00000';24;1;'12001';'0804';          0.00;      20900.00;      25502.72
'1.00000.603005';WÄRME;AUSGABE;'00000';24;1;'12001';'0804';      20600.00;          0.00;          0.00
'1.00000.614000';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;'12230';'0804';       5900.00;       5700.00;          0.00
'1.00000.614006';INSTANDH. VON GEBÄUDEN GBG;AUSGABE;'00000';24;3;'MD060';'MDPA';       2000.00;          0.00;          0.00
'1.00000.614200';INSTANDH. VON GEBÄUDEN WB;AUSGABE;'00000';24;1;'MD060';'MDPA';          0.00;       5000.00;        579.83
'1.00000.614500';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;'12230';'0804';       1000.00;       1000.00;      13491.23
'1.00000.614509';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;'12230';'0804';          0.00;          0.00;        632.05
'1.00000.618009';INSTANDH. VON SONSTIGEN ANLAGEN A8/5W;AUSGABE;'00000';24;3;'MD060';'MDPA';          0.00;          0.00;        488.67
'1.00000.618030';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;2;'12230';'0804';       1000.00;       1000.00;        424.89
'1.00000.618200';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;3;'MD060';'MDPA';       1000.00;       1000.00;       1141.19
'1.00000.618509';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;3;'12230';'0804';          0.00;          0.00;        374.48
'1.00000.620000';PERSONEN- UND GÜTERTRANSPORTE;AUSGABE;'00000';24;9;'MD060';'MDPA';        500.00;        500.00;       1122.57
'1.00000.620200';PERSONEN- UND GÜTERTRANSPORTE TAXIBENÜTZUNG;AUSGABE;'00000';24;9;'MD060';'MDPA';       5000.00;       6000.00;       3319.29
'1.00000.630000';POSTDIENSTE;AUSGABE;'00000';24;1;'MD002';'MDPA';       9100.00;      10000.00;      11370.46
'1.00000.631000';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;'MD002';'MDPA';          0.00;          0.00;       3415.83
'1.00000.631200';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;'MD002';'MDPA';          0.00;          0.00;      33389.83
'1.00000.631300';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;'MD002';'MDPA';          0.00;          0.00;       2283.94
'1.00000.650000';ZINSEN FÜR FINANZSCHULDEN - INLAND;AUSGABE;'00000';25;8;'SN021';'SN21';       3100.00;       4400.00;       4950.74
'1.00000.670000';VERSICHERUNGEN;AUSGABE;'00000';24;8;'12101';'0804';          0.00;       7600.00;       7617.61
'1.00000.670005';VERSICHERUNGEN;AUSGABE;'00000';24;8;'12101';'0804';       7500.00;          0.00;          0.00
'1.00000.700000';MIETZINSE;AUSGABE;'00000';24;8;'12101';'0804';          0.00;      17100.00;      16030.14
'1.00000.700005';MIETZINSE;AUSGABE;'00000';24;8;'12101';'0804';       2000.00;          0.00;          0.00
'1.00000.700100';MIETZINSE BEZIRKS- UND STADTTEILVERSAMMLUNGEN;AUSGABE;'00000';24;9;'MD002';'MDPA';       2000.00;       2000.00;        498.89
'1.00000.700200';MIETZINSE LEASINGRATEN;AUSGABE;'00000';24;8;'08107';'0800';     149100.00;     147300.00;     146283.79
'1.00000.700700';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'00000';24;8;'12020';'0804';          0.00;       8800.00;       7205.81
'1.00000.700705';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'00000';24;8;'12020';'0804';       7600.00;          0.00;          0.00
'1.00000.700800';MIETZINSE CITY-BACKBONE;AUSGABE;'00000';24;8;'12230';'0804';       1000.00;       1000.00;        755.60
'1.00000.710000';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'00000';24;8;'12101';'0804';          0.00;      19000.00;      16839.89
'1.00000.710005';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'00000';24;8;'12101';'0804';       3000.00;          0.00;          0.00
'1.00000.721000';BEZÜGE DER GEWÄHLTEN ORGANE STADTSENATSMITGLIEDER;AUSGABE;'00000';22;8;'MD060';'MDPA';    1350000.00;    1304000.00;    1308021.21
'1.00000.721100';BEZÜGE DER GEWÄHLTEN ORGANE GEMEINDERÄTE;AUSGABE;'00000';22;8;'MD060';'MDPA';    1577000.00;    1524000.00;    1498354.53
'1.00000.721200';BEZÜGE DER GEWÄHLTEN ORGANE BEZIRKSVORSTEHER;AUSGABE;'00000';22;8;'MD060';'MDPA';     604000.00;     583000.00;     557180.18
'1.00000.721300';BEZÜGE DER GEWÄHLTEN ORGANE REISEGEBÜHREN;AUSGABE;'00000';22;9;'MD060';'MDPA';      15000.00;      15000.00;      22442.25
'1.00000.721500';BEZÜGE DER GEWÄHLTEN ORGANE ZUSCHÜSSE;AUSGABE;'00000';22;8;'MD060';'MDPA';      16000.00;      20400.00;          0.00
'1.00000.728005';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;8;'12101';'0804';       7000.00;          0.00;          0.00
'1.00000.728016';ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG-REINIGUNG;AUSGABE;'00000';24;9;'MD060';'MDPA';     126400.00;          0.00;          0.00
'1.00000.728026';ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG;AUSGABE;'00000';24;9;'GBGIV';'0804';     128500.00;          0.00;          0.00
'1.00000.728070';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;'MD060';'MDPA';        400.00;          0.00;          0.00
'1.00000.728100';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;8;'12101';'0804';          0.00;       7600.00;       5016.79
'1.00000.728120';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;3;'12230';'0804';          0.00;          0.00;       4295.85
'1.00000.728200';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;'MD060';'MDPA';        700.00;        700.00;        835.46
'1.00000.728300';ENTGELTE FÜR SONSTIGE LEISTUNGEN TAGUNGSGEBÜHREN;AUSGABE;'00000';24;9;'MD060';'MDPA';       1000.00;       1000.00;          0.00
'1.00000.728980';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;'MD060';'MDPA';      35000.00;      35000.00;      69263.22
'1.00000.751001';LFD. TRANSFERZAHLUNGEN AN LÄNDER UND LANDESFONDS;AUSGABE;'00000';26;0;'SN001';'MDPA';     209100.00;     189600.00;     174742.82
'1.00000.757000';LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW;AUSGABE;'00000';27;5;'';'0800';     963900.00;     963900.00;     963643.85
'1.00000.760000';PENSIONEN UND SONSTIGE RUHEBEZÜGE (EINSCHL.DG-BEIT;AUSGABE;'00000';21;8;'MD060';'MDPA';    1995000.00;    2120000.00;    1889945.48
'1.01000.010000';GEBÄUDE;AUSGABE;'01000';40;3;'12230';'0804';       1000.00;       1000.00;          0.00
'1.01000.042000';AMTSAUSSTATTUNG;AUSGABE;'01000';41;3;'GMD00';'MD00';       4500.00;      16700.00;        636.58
'1.01000.042008';AMTSAUSSTATTUNG HOLDING;AUSGABE;'01000';41;3;'GMD00';'MD00';        400.00;          0.00;          0.00
'1.01000.042600';AMTSAUSSTATTUNG WB;AUSGABE;'01000';41;3;'GMD00';'MD00';          0.00;        400.00;          0.00
'1.01000.042950';AMTSAUSSTATTUNG;AUSGABE;'01000';41;3;'GMD00';'MD00';          0.00;          0.00;       3200.00
'1.01000.042990';AMTSAUSSTATTUNG;AUSGABE;'01000';41;3;'GMDI0';'MDIM';          0.00;          0.00;       2040.60
'1.01000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'01000';41;3;'12230';'0804';       1000.00;       1000.00;          0.00
'1.01000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'01000';65;8;'SN021';'SN21';      94300.00;      90900.00;      87896.43
'1.01000.400000';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;1;'GMD00';'MD00';        800.00;        800.00;       4599.15
'1.01000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;3;'12230';'0804';       1000.00;       1000.00;         53.61
'1.01000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;3;'GMDI0';'MDIM';          0.00;          0.00;        426.84
'1.01000.420890';PFLANZLICHE ROHSTOFFE;AUSGABE;'01000';23;1;'G085W';'085W';          0.00;          0.00;        105.13
'1.01000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'01000';23;1;'12230';'0804';          0.00;       1000.00;          0.00
'1.01000.428890';FERTIG BEZOGENE TEILE;AUSGABE;'01000';23;1;'G085W';'085W';          0.00;          0.00;         22.52
'1.01000.454000';REINIGUNGSMITTEL;AUSGABE;'01000';23;1;'12202';'0805';          0.00;          0.00;         39.81
'1.01000.456000';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'01000';23;1;'GMD00';'MD00';       1000.00;        200.00;        297.69
'1.01000.456950';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'01000';23;9;'GMD00';'MD00';        100.00;          0.00;          0.00
'1.01000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'01000';23;1;'GMD00';'MD00';          0.00;        800.00;        246.82
'1.01000.457000';DRUCKWERKE;AUSGABE;'01000';23;1;'GMD00';'MD00';       1900.00;       1900.00;       1825.50
'1.01000.457009';DRUCKWERKE KOPIERSERVICE - MDPA;AUSGABE;'01000';23;1;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.457100';DRUCKWERKE;AUSGABE;'01000';23;1;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.457950';DRUCKWERKE;AUSGABE;'01000';23;9;'GMD00';'MD00';          0.00;        500.00;          0.00
'1.01000.459000';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'01000';23;1;'GMD00';'MD00';          0.00;        200.00;         85.27
'1.01000.459006';SONSTIGE VERBRAUCHSGÜTER GBG;AUSGABE;'01000';23;1;'GMD00';'MD00';        200.00;          0.00;          0.00
'1.01000.500000';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'01000';20;0;'SN001';'MD00';     284800.00;     705400.00;     541010.37
'1.01000.500010';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'01000';20;0;'SN001';'MD00';      49100.00;      31500.00;      49974.12
'1.01000.510000';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'01000';20;0;'SN001';'MD00';     249300.00;      85400.00;     151052.33
'1.01000.510010';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'01000';20;0;'SN001';'MD00';       3200.00;          0.00;        278.60
'1.01000.522500';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE;AUSGABE;'01000';20;0;'GMD00';'MD00';       5000.00;          0.00;          0.00
'1.01000.560000';REISEGEBÜHREN;AUSGABE;'01000';20;0;'GMD00';'MD00';       2000.00;       2000.00;       3756.03
'1.01000.560950';REISEGEBÜHREN;AUSGABE;'01000';20;0;'GMD00';'MD00';          0.00;          0.00;       2426.38
'1.01000.563100';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'01000';20;0;'GMD00';'MD00';        200.00;        200.00;         52.08
'1.01000.565000';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'01000';20;0;'SN001';'MD00';       3500.00;       5400.00;       5196.30
'1.01000.565300';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'01000';20;0;'GMD00';'MD00';          0.00;          0.00;       1232.19
'1.01000.569000';SONSTIGE NEBENGEBÜHREN;AUSGABE;'01000';20;0;'SN001';'MD00';        800.00;       2000.00;       1130.40
'1.01000.580000';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'01000';20;0;'SN001';'MD00';      38600.00;      20000.00;      28523.64
'1.01000.581000';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'01000';20;0;'SN001';'MD00';      67300.00;      29500.00;      53638.50
'1.01000.581500';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'01000';20;0;'SN001';'MD00';      15300.00;      13900.00;      17399.31
'1.01000.590000';FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN);AUSGABE;'01000';20;0;'SN001';'MD00';       1300.00;        600.00;       1003.00
'1.01000.600000';STROM;AUSGABE;'01000';24;1;'12001';'0804';          0.00;       3300.00;       3843.24
'1.01000.600005';STROM;AUSGABE;'01000';24;1;'12001';'0804';       3000.00;          0.00;          0.00
'1.01000.602000';WASSER;AUSGABE;'01000';24;1;'12101';'0804';          0.00;        300.00;        290.46
'1.01000.602005';WASSER;AUSGABE;'01000';24;1;'12101';'0804';        300.00;          0.00;          0.00
'1.01000.603000';WÄRME;AUSGABE;'01000';24;1;'12001';'0804';          0.00;       4800.00;       4141.96
'1.01000.603005';WÄRME;AUSGABE;'01000';24;1;'12001';'0804';       4000.00;          0.00;          0.00
'1.01000.614000';INSTANDH. VON GEBÄUDEN;AUSGABE;'01000';24;3;'12230';'0804';       5700.00;       5700.00;        329.12
'1.01000.614006';INSTANDH. VON GEBÄUDEN GBG;AUSGABE;'01000';24;3;'GMD00';'MD00';       4000.00;          0.00;          0.00
'1.01000.614009';INSTANDH. VON GEBÄUDEN A 8/5W;AUSGABE;'01000';24;3;'GMD00';'MD00';          0.00;          0.00;        558.55
'1.01000.614500';INSTANDH. VON GEBÄUDEN;AUSGABE;'01000';24;3;'12230';'0804';       1000.00;       1000.00;      75603.73
'1.01000.618000';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'01000';24;3;'GMD00';'MD00';          0.00;        200.00;        182.46
'1.01000.618006';INSTANDH. VON SONSTIGEN ANLAGEN GBG;AUSGABE;'01000';24;3;'GMD00';'MD00';        400.00;          0.00;          0.00
'1.01000.618030';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'01000';24;2;'12230';'0804';       1000.00;       1000.00;         44.17
'1.01000.618100';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'01000';24;3;'G0FW0';'FW00';          0.00;          0.00;       6381.07
'1.01000.618109';INSTANDH. VON SONSTIGEN ANLAGEN A 8/5W;AUSGABE;'01000';24;3;'GMD00';'MD00';          0.00;          0.00;       2040.25
'1.01000.618600';INSTANDH. VON SONSTIGEN ANLAGEN WB;AUSGABE;'01000';24;3;'GMD00';'MD00';       1000.00;        200.00;          0.00
'1.01000.620000';PERSONEN- UND GÜTERTRANSPORTE;AUSGABE;'01000';24;8;'GMD00';'MD00';        200.00;        200.00;          7.80
'1.01000.620600';PERSONEN- UND GÜTERTRANSPORTE WB;AUSGABE;'01000';24;9;'GMD00';'MD00';          0.00;        500.00;        152.73
'1.01000.630000';POSTDIENSTE;AUSGABE;'01000';24;1;'MD002';'MDPA';        400.00;        500.00;       1097.73
'1.01000.631000';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'01000';24;1;'GMD00';'MD00';          0.00;          0.00;        610.35
'1.01000.631200';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'01000';24;1;'GMD00';'MD00';          0.00;          0.00;       2321.51
'1.01000.631300';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'01000';24;1;'MD002';'MDPA';          0.00;          0.00;        384.43
'1.01000.650000';ZINSEN FÜR FINANZSCHULDEN - INLAND;AUSGABE;'01000';25;8;'SN021';'SN21';       7400.00;      11400.00;      14599.99
'1.01000.670000';VERSICHERUNGEN;AUSGABE;'01000';24;8;'12101';'0804';          0.00;        500.00;        467.70
'1.01000.670005';VERSICHERUNGEN;AUSGABE;'01000';24;8;'12101';'0804';        500.00;          0.00;          0.00
'1.01000.670100';VERSICHERUNGEN;AUSGABE;'01000';24;9;'GMD00';'MD00';        100.00;        100.00;         65.00
'1.01000.700000';MIETZINSE;AUSGABE;'01000';24;8;'12101';'0804';          0.00;      10500.00;      11480.01
'1.01000.700005';MIETZINSE;AUSGABE;'01000';24;8;'12101';'0804';      10500.00;          0.00;          0.00
'1.01000.700300';MIETZINSE LEASINGRATEN;AUSGABE;'01000';24;8;'08107';'0800';      24300.00;      24000.00;      24095.95
'1.01000.700500';MIETZINSE;AUSGABE;'01000';24;9;'GMD00';'MD00';        100.00;        100.00;          0.00
'1.01000.700505';MIETZINSE GBG-MIETEN;AUSGABE;'01000';24;8;'12020';'0804';       7100.00;          0.00;          0.00
'1.01000.700510';MIETZINSE GBG-MIETEN;AUSGABE;'01000';24;8;'12020';'0804';          0.00;       8000.00;       6688.50
'1.01000.700700';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'01000';24;8;'12020';'0804';          0.00;       6000.00;       4841.30
'1.01000.700705';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'01000';24;8;'12020';'0804';       5100.00;          0.00;          0.00
'1.01000.700800';MIETZINSE CITY-BACKBONE;AUSGABE;'01000';24;8;'12230';'0804';       1000.00;       1000.00;         91.81
'1.01000.710000';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'01000';24;8;'12101';'0804';          0.00;       3300.00;       2805.49
'1.01000.710005';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'01000';24;8;'12101';'0804';       3000.00;          0.00;          0.00
'1.01000.710100';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'01000';24;8;'MD002';'MDPA';          0.00;          0.00;        906.17
'1.01000.710110';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'01000';24;9;'GMD00';'MD00';        200.00;        200.00;          0.00
'1.01000.723000';AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN;AUSGABE;'01000';24;9;'GMD00';'MD00';        800.00;        800.00;        800.00
'1.01000.723950';AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN;AUSGABE;'01000';24;9;'GMD00';'MD00';        900.00;        900.00;          0.00
'1.01000.726000';MITGLIEDSBEITRÄGE AN INSTITUTIONEN (IM INLAND);AUSGABE;'01000';24;9;'GMD00';'MD00';          0.00;          0.00;         95.00
'1.01000.726100';MITGLIEDSBEITRÄGE AN INSTITUTIONEN (IM INLAND);AUSGABE;'01000';24;4;'';'1600';        300.00;        300.00;        205.00
'1.01000.728000';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'01000';24;8;'GMD00';'MD00';       6000.00;       6000.00;          0.00
'1.01000.728005';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'01000';24;8;'12101';'0804';       1000.00;          0.00;          0.00
'1.01000.728006';ENTGELTE FÜR SONSTIGE LEISTUNGEN GBG;AUSGABE;'01000';24;3;'GMD00';'MD00';        600.00;        600.00;          0.00
'1.01000.728007';ENTGELTE FÜR SONSTIGE LEISTUNGEN ITG;AUSGABE;'01000';24;9;'IT0MD';'MD00';     212100.00;          0.00;          0.00
