Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;RQ;FG;SN;AOB;Anfängliche Zahlungsrückstände EUR;Laufendes Soll EUR;Gesamt Soll EUR;Ist EUR;Schließliche Zahlungsrückstände EUR;Voranschlag EUR;Nachtrags-Voranschlag EUR;Gesamt-Voranschlag EUR;Unterschied zw. LFD.Soll - Gesamt-VA günsiger EUR;Unterschied zw. LFD.Soll - Gesamt-VA ungünsiger EUR
'1.00000.500010';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'00000';20;0;S;'MDPA';          0.00;     142880.67;     142880.67;     142880.67;          0.00;     167800.00;          0.00;     167800.00;      24919.33;          0.00
'1.00000.510000';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'00000';20;0;S;'MDPA';          0.00;    1568101.50;    1568101.50;    1568101.50;          0.00;    1465000.00;          0.00;    1465000.00;          0.00;     103101.50
'1.00000.510010';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'00000';20;0;S;'MDPA';          0.00;     374759.72;     374759.72;     374759.72;          0.00;     321100.00;          0.00;     321100.00;          0.00;      53659.72
'1.00000.511000';GELDBEZÜGE DER VB. IN HANDWERKLICHER VERWENDUNG;AUSGABE;'00000';20;0;S;'MDPA';          0.00;       2342.70;       2342.70;       2342.70;          0.00;          0.00;          0.00;          0.00;          0.00;       2342.70
'1.00000.522500';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE;AUSGABE;'00000';20;0;S;'MDPA';          0.00;      52109.75;      52109.75;      52109.75;          0.00;          0.00;      44600.00;      44600.00;          0.00;       7509.75
'1.00000.523100';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ARBE;AUSGABE;'00000';20;0;S;'MDPA';          0.00;       5856.80;       5856.80;       5856.80;          0.00;          0.00;          0.00;          0.00;          0.00;       5856.80
'1.00000.523500';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ARBE;AUSGABE;'00000';20;0;S;'MDPA';          0.00;       2981.04;       2981.04;       2981.04;          0.00;          0.00;          0.00;          0.00;          0.00;       2981.04
'1.00000.560000';REISEGEBÜHREN;AUSGABE;'00000';20;0;D;'MDPA';          0.00;       2219.18;       2219.18;       2219.18;          0.00;       1200.00;          0.00;       1200.00;          0.00;       1019.18
'1.00000.563000';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'00000';20;0;S;'MDPA';          0.00;          0.00;          0.00;          0.00;          0.00;        200.00;          0.00;        200.00;        200.00;          0.00
'1.00000.563100';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'00000';20;0;S;'MDPA';          0.00;         40.32;         40.32;         40.32;          0.00;        100.00;          0.00;        100.00;         59.68;          0.00
'1.00000.565000';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'00000';20;0;S;'MDPA';          0.00;       6438.40;       6438.40;       6438.40;          0.00;       5400.00;          0.00;       5400.00;          0.00;       1038.40
'1.00000.565300';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'00000';20;0;D;'MDPA';          0.00;      11083.50;      11083.50;      11083.50;          0.00;       6400.00;          0.00;       6400.00;          0.00;       4683.50
'1.00000.567000';BELOHNUNGEN UND GELDAUSHILFEN;AUSGABE;'00000';20;0;S;'MDPA';          0.00;        150.00;        150.00;        150.00;          0.00;        200.00;          0.00;        200.00;         50.00;          0.00
'1.00000.569000';SONSTIGE NEBENGEBÜHREN;AUSGABE;'00000';20;0;S;'MDPA';          0.00;       7621.00;       7621.00;       7621.00;          0.00;      16400.00;          0.00;      16400.00;       8779.00;          0.00
'1.00000.580000';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'00000';20;0;S;'MDPA';          0.00;     120946.98;     120946.98;     120946.98;          0.00;      44700.00;          0.00;      44700.00;          0.00;      76246.98
'1.00000.580900';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'00000';20;0;S;'MDPA';          0.00;       2478.98;       2478.98;       2478.98;          0.00;          0.00;          0.00;          0.00;          0.00;       2478.98
'1.00000.581000';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;S;'MDPA';          0.00;     407163.99;     407163.99;     407163.99;          0.00;     378500.00;          0.00;     378500.00;          0.00;      28663.99
'1.00000.581500';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;S;'MDPA';          0.00;      39901.86;      39901.86;      39901.86;          0.00;      42600.00;          0.00;      42600.00;       2698.14;          0.00
'1.00000.581900';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'00000';20;0;S;'MDPA';          0.00;      11680.59;      11680.59;      11680.59;          0.00;          0.00;          0.00;          0.00;          0.00;      11680.59
'1.00000.590000';FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN);AUSGABE;'00000';20;0;S;'MDPA';          0.00;       4509.50;       4509.50;       4509.50;          0.00;       4000.00;          0.00;       4000.00;          0.00;        509.50
'1.00000.600000';STROM;AUSGABE;'00000';24;1;D;'0805';       3513.16;      21308.89;      24822.05;      22826.42;       1995.63;      25000.00;          0.00;      25000.00;       3691.11;          0.00
'1.00000.602000';WASSER;AUSGABE;'00000';24;1;D;'0805';          0.00;       1523.56;       1523.56;       1523.56;          0.00;       1500.00;          0.00;       1500.00;          0.00;         23.56
'1.00000.603000';WÄRME;AUSGABE;'00000';24;1;D;'0805';          0.00;      23622.07;      23622.07;      23622.07;          0.00;      22000.00;          0.00;      22000.00;          0.00;       1622.07
'1.00000.614000';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       4000.00;          0.00;       4000.00;       4000.00;          0.00
'1.00000.614200';INSTANDH. VON GEBÄUDEN WB;AUSGABE;'00000';24;1;D;'MDPA';          0.00;      10406.26;      10406.26;      10406.26;          0.00;          0.00;          0.00;          0.00;          0.00;      10406.26
'1.00000.614500';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;D;'0805';          7.41;      12687.61;      12695.02;      12657.05;         37.97;       1000.00;          0.00;       1000.00;          0.00;      11687.61
'1.00000.614509';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;D;'0805';          0.00;       1055.18;       1055.18;       1055.18;          0.00;          0.00;          0.00;          0.00;          0.00;       1055.18
'1.00000.614890';INSTANDH. VON GEBÄUDEN;AUSGABE;'00000';24;3;D;'085W';          0.00;        749.70;        749.70;        749.70;          0.00;        500.00;          0.00;        500.00;          0.00;        249.70
'1.00000.618030';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;2;D;'0805';          0.00;        233.44;        233.44;        233.44;          0.00;       1000.00;          0.00;       1000.00;        766.56;          0.00
'1.00000.618200';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;3;D;'MDPA';          0.00;       1408.88;       1408.88;       1408.88;          0.00;       1000.00;          0.00;       1000.00;          0.00;        408.88
'1.00000.618509';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;3;D;'0805';          0.00;        391.80;        391.80;        391.80;          0.00;          0.00;          0.00;          0.00;          0.00;        391.80
'1.00000.618890';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'00000';24;3;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        200.00;          0.00;        200.00;        200.00;          0.00
'1.00000.618990';INSTANDH. VON SONSTIGEN ANLAGEN EDV;AUSGABE;'00000';24;3;D;'MDIM';        372.90;         98.67;        471.57;        471.57;          0.00;          0.00;          0.00;          0.00;          0.00;         98.67
'1.00000.620000';PERSONEN- UND GÜTERTRANSPORTE;AUSGABE;'00000';24;9;D;'MDPA';          0.00;        680.94;        680.94;        680.94;          0.00;          0.00;          0.00;          0.00;          0.00;        680.94
'1.00000.620200';PERSONEN- UND GÜTERTRANSPORTE TAXIBENÜTZUNG;AUSGABE;'00000';24;9;D;'MDPA';          0.00;       4788.79;       4788.79;       4246.52;        542.27;       6000.00;          0.00;       6000.00;       1211.21;          0.00
'1.00000.630000';POSTDIENSTE;AUSGABE;'00000';24;1;D;'MDPA';          0.00;      11173.16;      11173.16;      11173.16;          0.00;      20000.00;          0.00;      20000.00;       8826.84;          0.00
'1.00000.631000';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;D;'MDPA';          0.00;       4235.15;       4235.15;       4235.15;          0.00;      10000.00;          0.00;      10000.00;       5764.85;          0.00
'1.00000.631200';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;D;'MDPA';          0.00;      23809.08;      23809.08;      23377.96;        431.12;      17300.00;          0.00;      17300.00;          0.00;       6509.08
'1.00000.631300';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'00000';24;1;D;'MDPA';        245.67;       2518.39;       2764.06;       2556.92;        207.14;       4000.00;          0.00;       4000.00;       1481.61;          0.00
'1.00000.650000';ZINSEN FÜR FINANZSCHULDEN - INLAND;AUSGABE;'00000';25;8;S;'SN21';          0.00;       5621.34;       5621.34;       5621.34;          0.00;       6000.00;          0.00;       6000.00;        378.66;          0.00
'1.00000.670000';VERSICHERUNGEN;AUSGABE;'00000';24;8;D;'0805';          0.00;       8609.15;       8609.15;       8609.15;          0.00;       8000.00;          0.00;       8000.00;          0.00;        609.15
'1.00000.700000';MIETZINSE;AUSGABE;'00000';24;8;D;'0805';          0.00;      16517.40;      16517.40;      16517.40;          0.00;      18000.00;          0.00;      18000.00;       1482.60;          0.00
'1.00000.700100';MIETZINSE BEZIRKS- UND STADTTEILVERSAMMLUNGEN;AUSGABE;'00000';24;9;D;'MDPA';          0.00;       1113.00;       1113.00;        428.00;        685.00;       1000.00;          0.00;       1000.00;          0.00;        113.00
'1.00000.700110';MIETZINSE KOPIERER;AUSGABE;'00000';24;8;D;'MDPA';        312.07;       1791.26;       2103.33;       2103.33;          0.00;      10000.00;          0.00;      10000.00;       8208.74;          0.00
'1.00000.700200';MIETZINSE LEASINGRATEN;AUSGABE;'00000';24;8;D;'0800';          0.00;     162164.05;     162164.05;     162164.05;          0.00;     173300.00;          0.00;     173300.00;      11135.95;          0.00
'1.00000.700600';MIETZINSE;AUSGABE;'00000';24;8;D;'MDPA';          0.00;          0.00;          0.00;          0.00;          0.00;      40000.00;          0.00;      40000.00;      40000.00;          0.00
'1.00000.700700';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'00000';24;8;D;'0805';          0.00;       7204.05;       7204.05;       7204.05;          0.00;       8800.00;          0.00;       8800.00;       1595.95;          0.00
'1.00000.700800';MIETZINSE CITY-BACKBONE;AUSGABE;'00000';24;8;D;'0805';          0.00;        742.55;        742.55;        742.55;          0.00;       1000.00;          0.00;       1000.00;        257.45;          0.00
'1.00000.710000';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'00000';24;8;D;'0805';          0.00;      20730.28;      20730.28;      20730.28;          0.00;      20000.00;          0.00;      20000.00;          0.00;        730.28
'1.00000.721000';BEZÜGE DER GEWÄHLTEN ORGANE STADTSENATSMITGLIEDER;AUSGABE;'00000';22;8;D;'MDPA';          0.00;    1306800.86;    1306800.86;    1306800.86;          0.00;    1322800.00;          0.00;    1322800.00;      15999.14;          0.00
'1.00000.721100';BEZÜGE DER GEWÄHLTEN ORGANE GEMEINDERÄTE;AUSGABE;'00000';22;8;D;'MDPA';          0.00;    1523654.24;    1523654.24;    1523654.24;          0.00;    1546500.00;          0.00;    1546500.00;      22845.76;          0.00
'1.00000.721200';BEZÜGE DER GEWÄHLTEN ORGANE BEZIRKSVORSTEHER;AUSGABE;'00000';22;8;D;'MDPA';          0.00;     577596.32;     577596.32;     577596.32;          0.00;     591400.00;          0.00;     591400.00;      13803.68;          0.00
'1.00000.721300';BEZÜGE DER GEWÄHLTEN ORGANE REISEGEBÜHREN;AUSGABE;'00000';22;9;D;'MDPA';          0.00;      13533.48;      13533.48;      13221.63;        311.85;      15000.00;          0.00;      15000.00;       1466.52;          0.00
'1.00000.721400';BEZÜGE DER GEWÄHLTEN ORGANE ABFERTIGUNGEN;AUSGABE;'00000';22;8;D;'MDPA';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.00000.728100';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;8;D;'0805';        133.73;       5078.31;       5212.04;       5212.04;          0.00;       8000.00;          0.00;       8000.00;       2921.69;          0.00
'1.00000.728110';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;D;'0805';          0.00;        381.53;        381.53;        381.53;          0.00;          0.00;          0.00;          0.00;          0.00;        381.53
'1.00000.728200';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;D;'MDPA';          0.00;        721.52;        721.52;        721.52;          0.00;        300.00;          0.00;        300.00;          0.00;        421.52
'1.00000.728300';ENTGELTE FÜR SONSTIGE LEISTUNGEN TAGUNGSGEBÜHREN;AUSGABE;'00000';24;9;D;'MDPA';          0.00;      14486.08;      14486.08;       7207.57;       7278.51;       1000.00;          0.00;       1000.00;          0.00;      13486.08
'1.00000.728310';ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN;AUSGABE;'00000';24;9;D;'MDPA';          0.00;        295.00;        295.00;        295.00;          0.00;          0.00;          0.00;          0.00;          0.00;        295.00
'1.00000.728500';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;D;'BG00';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.00000.728980';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'00000';24;9;D;'MDPA';          0.00;        456.51;        456.51;        456.51;          0.00;          0.00;          0.00;          0.00;          0.00;        456.51
'1.00000.751001';LFD. TRANSFERZAHLUNGEN AN LÄNDER UND LANDESFONDS;AUSGABE;'00000';26;0;S;'MDPA';      81683.25;     200596.41;     282279.66;     282279.66;          0.00;          0.00;          0.00;          0.00;          0.00;     200596.41
'1.00000.757000';LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW;AUSGABE;'00000';27;5;S;'0800';          0.00;     963643.85;     963643.85;     819097.28;     144546.57;     963900.00;          0.00;     963900.00;        256.15;          0.00
'1.00000.760000';PENSIONEN UND SONSTIGE RUHEBEZÜGE (EINSCHL.DG-BEIT;AUSGABE;'00000';21;8;D;'MDPA';          0.00;    1976904.03;    1976904.03;    1976904.03;          0.00;    2029000.00;          0.00;    2029000.00;      52095.97;          0.00
'1.01000.010000';GEBÄUDE;AUSGABE;'01000';40;3;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.01000.042000';AMTSAUSSTATTUNG;AUSGABE;'01000';41;3;D;'MD00';          0.00;          0.00;          0.00;          0.00;          0.00;      21500.00;          0.00;      21500.00;      21500.00;          0.00
'1.01000.042019';AMTSAUSSTATTUNG A 8/5W;AUSGABE;'01000';41;3;D;'MD00';          0.00;          0.00;          0.00;          0.00;          0.00;        200.00;          0.00;        200.00;        200.00;          0.00
'1.01000.042600';AMTSAUSSTATTUNG WB;AUSGABE;'01000';41;3;D;'MD00';          0.00;          0.00;          0.00;          0.00;          0.00;        400.00;          0.00;        400.00;        400.00;          0.00
'1.01000.043550';BETRIEBSAUSSTATTUNG;AUSGABE;'01000';41;3;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.01000.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'01000';65;8;S;'SN21';          0.00;      84969.88;      84969.88;      84969.88;          0.00;      85000.00;          0.00;      85000.00;         30.12;          0.00
'1.01000.400000';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;1;D;'MD00';          0.00;        701.42;        701.42;        321.42;        380.00;        800.00;          0.00;        800.00;         98.58;          0.00
'1.01000.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;3;D;'0805';          0.00;         77.80;         77.80;         77.80;          0.00;       1000.00;          0.00;       1000.00;        922.20;          0.00
'1.01000.400890';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;1;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.01000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'01000';23;3;D;'MDIM';        768.19;         76.27;        844.46;        844.46;          0.00;          0.00;          0.00;          0.00;          0.00;         76.27
'1.01000.402550';MATERIALIEN F.INNERBETRIEBLICHE LEISTUNGEN;AUSGABE;'01000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.01000.420890';PFLANZLICHE ROHSTOFFE;AUSGABE;'01000';23;1;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.01000.423550';ROH- UND HILFSSTOFFE FÜR DAS BAUHAUPTGEWERBE;AUSGABE;'01000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.01000.424550';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'01000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.01000.424890';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'01000';23;1;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.01000.425890';SONSTIGE ROH- UND HILFSSTOFFE;AUSGABE;'01000';23;1;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.01000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'01000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.01000.428890';FERTIG BEZOGENE TEILE;AUSGABE;'01000';23;1;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.01000.452000';TREIBSTOFFE;AUSGABE;'01000';23;1;D;'MDPA';          0.00;         30.00;         30.00;         30.00;          0.00;          0.00;          0.00;          0.00;          0.00;         30.00
'1.01000.454000';REINIGUNGSMITTEL;AUSGABE;'01000';23;1;D;'0805';          0.00;         36.59;         36.59;         36.59;          0.00;          0.00;          0.00;          0.00;          0.00;         36.59
'1.01000.456000';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'01000';23;1;D;'MD00';         63.28;        463.55;        526.83;        526.83;          0.00;        200.00;          0.00;        200.00;          0.00;        263.55
'1.01000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'01000';23;1;D;'MD00';          0.00;        129.73;        129.73;        129.73;          0.00;        800.00;          0.00;        800.00;        670.27;          0.00
'1.01000.457000';DRUCKWERKE;AUSGABE;'01000';23;1;D;'MD00';         92.53;       1454.64;       1547.17;       1501.43;         45.74;       2000.00;          0.00;       2000.00;        545.36;          0.00
